Loading Qwen/Qwen3-8B on cuda:0...
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights:   1%|          | 2/399 [00:00<00:30, 12.94it/s]Loading weights:  10%|▉         | 38/399 [00:00<00:02, 174.20it/s]Loading weights:  18%|█▊        | 71/399 [00:00<00:01, 235.09it/s]Loading weights:  32%|███▏      | 126/399 [00:00<00:00, 345.09it/s]Loading weights:  41%|████      | 163/399 [00:00<00:00, 341.02it/s]Loading weights:  52%|█████▏    | 206/399 [00:00<00:00, 332.44it/s]Loading weights:  65%|██████▍   | 258/399 [00:00<00:00, 358.25it/s]Loading weights:  79%|███████▉  | 316/399 [00:00<00:00, 379.01it/s]Loading weights:  94%|█████████▎| 374/399 [00:01<00:00, 431.97it/s]Loading weights: 100%|██████████| 399/399 [00:01<00:00, 356.85it/s]
Loaded in 3s, layers: 36
EARLY FORK: layers 12-35 (24 expert layers)
Trainable: 6,488,064 (6.5M)
Loading C4...
Training 15000 steps with learntropy-LR, fork at layer 12...
  Route: E0=0.500 E1=0.498 | LT: E0=2.24 E1=1.38 | LR: E0=1.5e-04 E1=2.0e-05
  Eval PPL=7.88
Step 6200/15000 | loss=3.1562 | tau=0.483
  Route: E0=0.498 E1=0.504 | LT: E0=2.42 E1=1.75 | LR: E0=1.1e-04 E1=2.8e-05
Step 6400/15000 | loss=2.9219 | tau=0.467
  Route: E0=0.547 E1=0.453 | LT: E0=2.28 E1=1.67 | LR: E0=1.1e-04 E1=2.8e-05
Step 6600/15000 | loss=2.7812 | tau=0.450
  Route: E0=0.488 E1=0.512 | LT: E0=2.32 E1=1.66 | LR: E0=1.1e-04 E1=2.7e-05
Step 6800/15000 | loss=2.7344 | tau=0.433
  Route: E0=0.512 E1=0.490 | LT: E0=2.43 E1=1.89 | LR: E0=9.3e-05 E1=3.2e-05
Step 7000/15000 | loss=2.9688 | tau=0.417
  Route: E0=0.504 E1=0.496 | LT: E0=2.25 E1=1.53 | LR: E0=1.2e-04 E1=2.4e-05
Step 7200/15000 | loss=2.9219 | tau=0.400
  Route: E0=0.473 E1=0.527 | LT: E0=2.36 E1=1.79 | LR: E0=9.8e-05 E1=3.1e-05
Step 7400/15000 | loss=3.2969 | tau=0.383
  Route: E0=0.480 E1=0.520 | LT: E0=2.36 E1=1.62 | LR: E0=1.2e-04 E1=2.5e-05
Step 7600/15000 | loss=2.9844 | tau=0.367
  Route: E0=0.451 E1=0.551 | LT: E0=2.35 E1=1.78 | LR: E0=9.9e-05 E1=3.0e-05
Step 7800/15000 | loss=3.2969 | tau=0.350
  Route: E0=0.465 E1=0.535 | LT: E0=2.25 E1=1.76 | LR: E0=9.2e-05 E1=3.3e-05
Step 8000/15000 | loss=3.0781 | tau=0.333
  Route: E0=0.496 E1=0.504 | LT: E0=2.27 E1=1.44 | LR: E0=1.4e-04 E1=2.1e-05
Step 8200/15000 | loss=2.5156 | tau=0.317
  Route: E0=0.520 E1=0.482 | LT: E0=2.23 E1=1.34 | LR: E0=1.6e-04 E1=1.9e-05
Step 8400/15000 | loss=2.6719 | tau=0.300
  Route: E0=0.447 E1=0.555 | LT: E0=2.31 E1=1.45 | LR: E0=1.4e-04 E1=2.1e-05
Step 8600/15000 | loss=2.5000 | tau=0.283
  Route: E0=0.463 E1=0.539 | LT: E0=2.31 E1=1.60 | LR: E0=1.2e-04 E1=2.5e-05
Step 8800/15000 | loss=2.9531 | tau=0.267
  Route: E0=0.480 E1=0.520 | LT: E0=2.33 E1=1.62 | LR: E0=1.2e-04 E1=2.5e-05
Step 9000/15000 | loss=2.6875 | tau=0.250
  Route: E0=0.484 E1=0.516 | LT: E0=2.16 E1=1.28 | LR: E0=1.6e-04 E1=1.8e-05
  Eval PPL=10.56
Step 9200/15000 | loss=1.8281 | tau=0.233
  Route: E0=0.512 E1=0.486 | LT: E0=2.32 E1=1.45 | LR: E0=1.5e-04 E1=2.0e-05
Step 9400/15000 | loss=2.4375 | tau=0.217
  Route: E0=0.488 E1=0.512 | LT: E0=2.37 E1=1.47 | LR: E0=1.5e-04 E1=2.0e-05
Step 9600/15000 | loss=2.9062 | tau=0.200
  Route: E0=0.512 E1=0.488 | LT: E0=2.45 E1=1.66 | LR: E0=1.2e-04 E1=2.4e-05
Step 9800/15000 | loss=2.5000 | tau=0.183
  Route: E0=0.467 E1=0.531 | LT: E0=2.17 E1=1.12 | LR: E0=2.2e-04 E1=1.4e-05
Step 10000/15000 | loss=2.6719 | tau=0.167
  Route: E0=0.535 E1=0.465 | LT: E0=2.22 E1=1.42 | LR: E0=1.4e-04 E1=2.2e-05
Step 10200/15000 | loss=2.3906 | tau=0.150
  Route: E0=0.512 E1=0.490 | LT: E0=2.24 E1=1.53 | LR: E0=1.2e-04 E1=2.5e-05
Step 10400/15000 | loss=2.5781 | tau=0.133
  Route: E0=0.482 E1=0.520 | LT: E0=2.28 E1=1.44 | LR: E0=1.4e-04 E1=2.1e-05
Step 10600/15000 | loss=2.1562 | tau=0.117
  Route: E0=0.531 E1=0.469 | LT: E0=2.26 E1=1.28 | LR: E0=1.8e-04 E1=1.7e-05
Step 10800/15000 | loss=2.4062 | tau=0.100
  Route: E0=0.477 E1=0.523 | LT: E0=2.34 E1=1.32 | LR: E0=1.8e-04 E1=1.7e-05
Step 11000/15000 | loss=2.7500 | tau=0.100
  Route: E0=0.469 E1=0.531 | LT: E0=2.24 E1=1.26 | LR: E0=1.8e-04 E1=1.7e-05
Step 11200/15000 | loss=2.6406 | tau=0.100
