Loading Qwen/Qwen3-8B on cuda:0...
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights:   1%|          | 2/399 [00:00<00:30, 12.95it/s]Loading weights:  11%|█         | 43/399 [00:00<00:01, 202.91it/s]Loading weights:  17%|█▋        | 68/399 [00:00<00:01, 216.38it/s]Loading weights:  32%|███▏      | 126/399 [00:00<00:00, 347.00it/s]Loading weights:  41%|████      | 164/399 [00:00<00:00, 342.56it/s]Loading weights:  50%|█████     | 200/399 [00:00<00:00, 339.12it/s]Loading weights:  63%|██████▎   | 252/399 [00:00<00:00, 388.23it/s]Loading weights:  75%|███████▌  | 301/399 [00:00<00:00, 404.01it/s]Loading weights:  86%|████████▌ | 342/399 [00:01<00:00, 400.28it/s]Loading weights:  98%|█████████▊| 391/399 [00:01<00:00, 424.14it/s]Loading weights: 100%|██████████| 399/399 [00:01<00:00, 358.11it/s]
Loaded in 3s, 16.4GB
Layers: 36, hidden: 4096, inter: 12288
Expert layers: 24-35
Trainable: 3,244,032 params (3.2M)
Loading C4...
Training 25000 steps...
Step 6300/25000 | loss=2.5938 | tau=0.685 | route=[0.50,0.50]
Step 6400/25000 | loss=2.5781 | tau=0.680 | route=[0.46,0.54]
Step 6500/25000 | loss=2.5156 | tau=0.675 | route=[0.47,0.53]
Step 6600/25000 | loss=3.0938 | tau=0.670 | route=[0.51,0.49]
Step 6700/25000 | loss=2.8125 | tau=0.665 | route=[0.47,0.53]
Step 6800/25000 | loss=3.1250 | tau=0.660 | route=[0.52,0.48]
Step 6900/25000 | loss=2.7812 | tau=0.655 | route=[0.54,0.46]
Step 7000/25000 | loss=2.5625 | tau=0.650 | route=[0.50,0.50]
  Eval PPL=14.69 CosSim=0.0564
Step 7100/25000 | loss=2.6562 | tau=0.645 | route=[0.43,0.57]
Step 7200/25000 | loss=2.9531 | tau=0.640 | route=[0.51,0.49]
Step 7300/25000 | loss=2.6875 | tau=0.635 | route=[0.48,0.52]
Step 7400/25000 | loss=3.2812 | tau=0.630 | route=[0.50,0.50]
Step 7500/25000 | loss=2.7031 | tau=0.625 | route=[0.52,0.48]
Step 7600/25000 | loss=3.0625 | tau=0.620 | route=[0.49,0.51]
Step 7700/25000 | loss=2.6406 | tau=0.615 | route=[0.51,0.49]
Step 7800/25000 | loss=2.6250 | tau=0.610 | route=[0.52,0.48]
